trade_date,symbol,return,gap_days,prev_date,series,class,detail
2011-12-15,DPSCLTD,-0.9952354633988298,1,2011-12-14,EQ,,
2021-02-17,HDFCMFGETF,-0.9901461574728901,1,2021-02-16,EQ,,
2022-01-06,SETFGOLD,-0.9900585687625442,1,2022-01-05,EQ,,
2026-03-06,LICMFGOLD,-0.9900567984557486,1,2026-03-05,EQ,,
2019-12-19,GOLDBEES,-0.9900136921062032,1,2019-12-18,EQ,,
2021-03-25,GOLDSHARE,-0.989992082735415,1,2021-03-24,EQ,,
2021-11-25,BSLGOLDETF,-0.9899624021247974,1,2021-11-24,EQ,,
2026-04-30,IVZINGOLD,-0.9898106462123375,1,2026-04-29,EQ,,
2020-07-23,AXISGOLD,-0.9880126399670262,1,2020-07-22,EQ,,
2020-12-23,MAJESCO,-0.9876223811697864,1,2020-12-22,EQ,,
2021-12-16,QGOLDHALF,-0.979757085020243,1,2021-12-15,EQ,,
2023-09-15,SARVESHWAR,-0.9662418188081295,1,2023-09-14,BE,,
2010-09-15,RESURGERE,-0.9594491201224178,1,2010-09-14,EQ,,
2023-02-24,VINNY,-0.9543822913550704,1,2023-02-23,BE,,
2025-03-10,KESORAMIND,-0.9525693630324346,3,2025-03-07,BE,,
2024-04-04,CUPID,-0.9475099219050057,1,2024-04-03,BE,,
2024-07-05,VERTOZ,-0.9474872541879097,1,2024-07-04,BE,,
2016-12-01,SUNILHITEC,-0.9474722564734895,1,2016-11-30,EQ,,
2022-02-22,SBC,-0.9474576271186441,1,2022-02-21,BE,,
2020-01-21,SUVEN,-0.9470890694974291,1,2020-01-20,BE,,
2011-06-23,TITAN,-0.9466738109937215,1,2011-06-22,EQ,,
2012-04-12,VAKRANSOFT,-0.9427615062761506,1,2012-04-11,EQ,,
2010-07-29,MMTC,-0.9390593540979756,1,2010-07-28,EQ,,
2024-03-28,LAL,-0.9341133004926109,1,2024-03-27,BE,,
2026-01-16,BESTAGRO,-0.9317134960847535,2,2026-01-14,EQ,,
2022-09-06,DANGEE,-0.9311745875400148,1,2022-09-05,EQ,,
2021-08-03,GLOBE,-0.9302023871302543,1,2021-08-02,BE,,
2013-03-21,RASOYPR,-0.9269662921348315,1,2013-03-20,EQ,,
2026-02-13,DELPHIFX,-0.926796125016438,1,2026-02-12,EQ,,
2022-09-28,EXCEL,-0.9261363636363636,1,2022-09-27,EQ,,
2011-12-23,PIRLIFE,-0.9244622311155578,1,2011-12-22,BE,,
2023-06-05,HARDWYN,-0.9178588651342228,3,2023-06-02,EQ,,
2022-06-30,PAISALO,-0.9096766122474511,1,2022-06-29,EQ,,
2022-09-23,SAKSOFT,-0.9095171999849946,1,2022-09-22,EQ,,
2025-09-01,PAVNAIND,-0.9081558567279767,3,2025-08-29,EQ,,
2025-01-08,KAMDHENU,-0.9071562695597747,1,2025-01-07,EQ,,
2024-09-13,SPORTKING,-0.9063304823376045,1,2024-09-12,EQ,,
2026-05-05,AVROIND,-0.9052714398111723,1,2026-05-04,EQ,,
2012-06-07,AVTNPL,-0.9051047961939052,1,2012-06-06,EQ,,
2026-02-06,GROWWSLVR,-0.9050661610124078,1,2026-02-05,EQ,,
2010-09-27,NISSAN,-0.905,3,2010-09-24,EQ,,
2025-10-17,ROLEXRINGS,-0.9049736247174077,1,2025-10-16,EQ,,
2021-09-23,ARTEMISMED,-0.9049176356589147,1,2021-09-22,EQ,,
