entity,symbol,ex_date,class,series,purpose,source_file,in_membership,g7_event
ACC,ACC,2011-03-29,SPECIAL_DIVIDEND,EQ,Final Dividend Rs.13/- Per Share And One Time Special Dividend Rs.7.50/- Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,True,True
TORNTPHARM,TORNTPHARM,2011-06-06,SPECIAL_DIVIDEND,EQ,Final Dividend Rs.6/- Per Share And Special Dividend Rs.2/- Per Share (Purpose Revised),CF-CA-equities-01-01-2011-to-31-12-2011.csv,False,True
ITC,ITC,2011-06-10,SPECIAL_DIVIDEND,EQ,Dividend Final Rs 2.80 And Special Rs 1.65 Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,True,True
TORNTPOWER,TORNTPOWER,2011-06-16,SPECIAL_DIVIDEND,EQ,Final Dividend Rs.3/- Per Share And Special Dividend Rs.2.50 Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,True,True
BOSCHLTD,BOSCHLTD,2011-06-23,SPECIAL_DIVIDEND,EQ,Special Dividend Rs.85/- Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,False,True
M&M,M&M,2011-07-14,SPECIAL_DIVIDEND,EQ,Annual General Meeting/Final Dividend Rs.10.50 Per Share And Special Dividend Re.1/- Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,True,True
HCLTECH,HCLTECH,2011-10-21,SPECIAL_DIVIDEND,EQ,Final Dividend Rs.2/- Per Share/Interim Dividend Rs.2/- Per Share/Special Dividend Rs.2/- Per Share/Annual General Meeting (Purpose Revised),CF-CA-equities-01-01-2011-to-31-12-2011.csv,True,True
MINDTREE,MINDTREE,2011-10-31,SPECIAL_DIVIDEND,EQ,Interim Dividend Rs.1.50 Per Share And Special Dividend Re.1 Per Share,CF-CA-equities-01-01-2011-to-31-12-2011.csv,False,True
INFOSYSTCH,INFY,2012-05-24,SPECIAL_DIVIDEND,EQ,Annual General Meeting / Dividend - Final Rs 22 + Special Rs 10,CF-CA-equities-01-01-2012-to-31-12-2012.csv,True,True
TCS,TCS,2012-06-07,SPECIAL_DIVIDEND,EQ,Annual General Meeting / Final Dividend - Rs.8/- / Special Dividend - Rs.8/-,CF-CA-equities-01-01-2012-to-31-12-2012.csv,True,True
