symbol,sector,tier,valid_from,valid_to,evidence
360ONE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AARTIIND,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ABB,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ABBOTINDIA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ABCAPITAL,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ABFRL,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ABIRLANUVO,Textiles,3,2016-02-11,9999-12-31,manual-register
ACC,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ADANIENSOL,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ADANIENT,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ADANIGREEN,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ADANIPORTS,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ADANIPOWER,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AJANTPHARM,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ALBK,Financial Services,3,2016-02-11,9999-12-31,manual-register
ALKEM,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AMARAJABAT,Automobile and Auto Components,3,2016-02-11,9999-12-31,manual-register
AMBER,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AMBUJACEM,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ANDHRABANK,Financial Services,3,2016-02-11,9999-12-31,manual-register
ANGELONE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
APLAPOLLO,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
APLLTD,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
APOLLOHOSP,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
APOLLOTYRE,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ARVIND,Textiles,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ASHOKLEY,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ASIANPAINT,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ASTRAL,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ATGL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ATUL,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AUBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AUROPHARMA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
AXISBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BAJAJ-AUTO,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BAJAJFINSV,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BAJAJHLDNG,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BAJFINANCE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BALKRISIND,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BALRAMCHIN,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BANDHANBNK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BANKBARODA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BANKINDIA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BATAINDIA,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BDL,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BEL,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BEML,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BERGEPAINT,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BHARATFIN,Financial Services,3,2016-02-11,9999-12-31,manual-register
BHARATFORG,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BHARTIARTL,Telecommunication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BHEL,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BIOCON,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BLUESTARCO,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BOSCHLTD,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BPCL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BRITANNIA,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BSE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
BSOFT,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CADILAHC,Healthcare,2,2010-01-04,9999-12-31,inherit:CADILAHC via ZYDUSLIFE
CAIRN,Oil Gas & Consumable Fuels,3,2016-02-11,9999-12-31,manual-register
CAMS,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
